timestamp,shift_id,machine_id,operator_id,machine_type,task_id,engine_hours,engine_rpm,engine_load,fuel_level,fuel_consumption_rate,hydraulic_temperature,coolant_temperature,hydraulic_pressure,machine_speed,machine_direction,machine_state,idle_time_seconds,cycle_time_seconds,payload_tonnes,bucket_load_percent,number_of_cycles,operating_mode,latitude,longitude,site_zone,terrain_slope_degrees,vibration,ambient_temperature,rainfall_mm,visibility_meters,wind_speed,seatbelt_status,proximity_distance_meters,nearby_person_count,nearby_vehicle_count,fault_code,machine_health_score,task_progress_percent,site_congestion
2026-09-01 06:00:15,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.5,1763.8,55.6,66.89,25.13,83.8,87.2,234.0,4.9,forward,operating,0.0,72.3,14.13,78.5,0,Economy,23.412926,85.344982,Zone B (Quarry Face),0.0,0.356,28.8,0.0,2416.2,17.4,fastened,42.5,0,0,NONE,88.5,0.2,0.1
2026-09-01 06:00:30,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.5,1757.4,52.8,66.87,24.03,85.6,89.0,246.3,2.3,forward,operating,0.0,71.7,15.58,86.5,0,Economy,23.413095,85.345269,Zone B (Quarry Face),0.0,0.32,28.8,0.0,2416.2,17.4,fastened,21.5,0,0,NONE,88.5,0.5,0.1
2026-09-01 06:00:45,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.51,1718.7,53.4,66.84,23.94,82.3,90.4,254.8,2.4,forward,operating,0.0,75.6,15.01,83.4,1,Economy,23.412646,85.345612,Zone B (Quarry Face),0.0,0.221,28.8,0.0,2416.2,17.4,unfastened,22.0,0,0,NONE,88.5,0.7,0.1
2026-09-01 06:01:00,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.51,746.7,14.8,66.83,7.24,72.2,83.5,178.6,0.0,neutral,idle,15.0,77.7,0.0,0.0,1,Economy,23.412441,85.345345,Zone B (Quarry Face),0.0,0.191,28.8,0.0,2416.2,17.4,fastened,31.5,0,1,NONE,88.5,0.7,0.1
2026-09-01 06:01:15,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.52,875.8,16.6,66.82,8.02,74.3,82.4,168.6,0.0,neutral,idle,30.0,77.0,0.0,0.0,1,Economy,23.412808,85.344877,Zone B (Quarry Face),0.0,0.249,28.8,0.0,2416.2,17.4,fastened,41.4,0,0,NONE,88.5,0.7,0.1
2026-09-01 06:01:30,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.52,1339.3,33.5,66.81,17.02,77.8,86.2,180.8,7.3,reverse,reversing,30.0,73.0,0.0,0.0,1,Economy,23.412669,85.344138,Zone B (Quarry Face),0.0,0.5,28.8,0.0,2416.2,17.4,fastened,43.6,0,0,NONE,88.5,0.7,0.1
2026-09-01 06:01:45,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.53,1777.3,56.2,66.78,26.23,80.6,88.5,268.8,2.0,forward,operating,30.0,70.6,16.16,89.8,1,Economy,23.412991,85.345096,Zone B (Quarry Face),0.0,0.278,28.8,0.0,2416.2,17.4,fastened,36.3,0,0,NONE,88.5,1.0,0.1
2026-09-01 06:02:00,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.53,1803.7,54.9,66.75,24.24,82.1,90.3,251.1,2.2,forward,operating,30.0,78.3,16.15,89.7,1,Economy,23.413357,85.345883,Zone B (Quarry Face),0.0,0.338,28.8,0.0,2416.2,17.4,fastened,26.2,0,0,NONE,88.5,1.2,0.1
2026-09-01 06:02:15,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.53,1745.8,57.5,66.73,26.89,82.5,90.6,262.6,3.9,forward,operating,30.0,72.6,17.48,97.1,1,Economy,23.413346,85.346216,Zone B (Quarry Face),0.0,0.33,28.8,0.0,2416.2,17.4,fastened,24.0,0,1,NONE,88.5,1.4,0.1
2026-09-01 06:02:30,SHIFT-0001,CAT-EX-336,OP-003,Excavator,TASK-101,3412.54,1829.1,56.4,66.7,25.18,84.6,91.1,238.0,1.9,forward,operating,30.0,75.2,11.7,65.0,1,Economy,23.412313,85.345508,Zone B (Quarry Face),0.0,0.308,28.8,0.0,2416.2,17.4,fastened,39.9,0,0,NONE,88.5,1.7,0.1
